0,150,212,158,189,170,96,114,187,147,279,208,321
150,0,97,162,217,141,130,112,219,137,158,302,382
212,97,0,259,314,238,227,209,316,234,67,399,479
158,162,259,0,114,92,68,50,103,108,320,206,279
189,217,314,114,0,203,99,105,36,186,375,94,165
170,141,238,92,203,0,116,98,195,23,299,288,368
96,130,227,68,99,116,0,18,101,99,288,193,263
114,112,209,50,105,98,18,0,107,81,270,190,270
187,219,316,103,36,195,101,107,0,188,377,128,195
147,137,234,108,186,23,99,81,188,0,295,271,351
279,158,67,320,375,299,288,270,377,295,0,460,540
208,302,399,206,94,288,193,190,128,271,460,0,113
321,382,479,279,165,368,264,270,195,351,540,113,0
