0,182,86,129,211,185,185,41,174,106,18,73,186,71,26
182,0,107,142,195,22,50,144,85,165,200,109,167,114,208
86,107,0,167,249,99,99,58,88,151,104,26,100,50,112
129,142,167,0,82,164,115,163,220,23,146,148,267,124,136
211,195,249,82,0,217,175,245,280,105,228,230,349,206,218
185,22,99,164,217,0,72,144,63,187,203,125,145,114,211
185,50,99,115,175,72,0,144,127,138,203,117,199,114,211
41,144,58,163,245,144,144,0,146,140,59,46,158,39,67
174,85,88,220,280,63,127,146,0,237,192,112,82,136,200
106,165,151,23,105,187,138,140,237,0,123,125,251,113,113
18,200,104,146,228,203,203,59,192,123,0,91,204,89,22
73,109,26,148,230,125,117,46,112,125,91,0,126,24,99
186,167,100,267,349,145,199,158,82,251,204,126,0,150,212
71,114,50,124,206,114,114,39,136,113,89,24,150,0,97
26,208,112,136,218,211,211,67,200,113,22,99,212,97,0
